id,family,surface,renderer,desktop,mobile,fit,source_rule,proposed_slot,source,css_or_contract,verification,proposed_source_role
I11,셀럽 포토카드,캘린더 주변 장식,CalendarArt → CreatorImage(calendar),카드1024:1536; 내부 사진창 별도,<1024 숨김,cover; Xin/그룹 등 contain,calendarPortraits 정적 배열; Jenny 새 CMS 분기,identity.calendar,apps/web/components/fan-calendar/calendar-art.tsx:11,apps/web/components/fan-calendar/calendar-art.module.css:13,코드,creator.portrait
E01,LIVE 홍보 배너,홈 메인 캐러셀,LiveHeroCarousel,2:1; 실측944×472,4:5; 실측358×447.5,cover,LIVE heroImage; Elina 전용 PC/mobile 예외,event.home.desktop/mobile,apps/web/components/live-hero-carousel.tsx:268,apps/web/components/guest-home.module.css:44,코드 + 실측,event.landscape / event.portrait
E02,캠페인 홍보 배너,홈 뱅크시 슬라이드,LiveHeroCarousel,2:1,4:5,cover,BANKSY_CAMPAIGN_IMAGE 정적 16:9 계열,campaign.home.desktop/mobile,apps/web/components/live-hero-carousel.tsx:355,apps/web/components/guest-home.module.css:320,코드; 초기 활성 슬라이드 외 별도 렌더 미검증,event.landscape / event.portrait
E03,LIVE 대표 이미지,/live/[slug] 상세,LiveEventScreen Image,2:1,2:1,PC cover center36%; ≤767 contain,live.heroImage.url,event.detail,apps/web/features/live/ui/live-event-screen.tsx:1054,apps/web/features/live/ui/live-event-screen.module.css:79,코드 + 별도 로딩 대기 실측,event.landscape
E04,LIVE preview,홈 셀럽 카드 / 팬페이지 최근 LIVE,LivePreview / square.posterUrl,1:1 파생본720×720; 팬페이지 CSS 확인 필요,팬페이지 liveCard는3:2로 override,표면별 cover; 영상은 별도 player,승인 preview square manifest,preview.square,apps/web/features/fanpage/ui/home-panels.tsx:25,apps/web/features/fanpage/ui/fanpage.module.css:54,코드; 이퓨 현재 preview 없음,preview.square / preview.landscape
E05,LIVE preview,LIVE 상세 영상 poster,landscape.posterUrl,2:1 파생본1280×640,2:1,preview player 소유,승인 preview landscape manifest,preview.landscape,apps/web/features/live/ui/live-event-screen.tsx:1069,apps/web/features/live/domain/live-preview.ts:43,코드; 현재 영상 미검증,preview.square / preview.landscape
E06,LIVE 카드 이미지,팬페이지 LIVE 탭 패널,CreatorLivePanel Image,1:1,3:2,cover,live.heroImage.url; E01/E03와 같은 원본,event.thumbnail.square/landscape,apps/web/features/fanpage/ui/home-panels.tsx:57,apps/web/features/fanpage/ui/fanpage.module.css:54,"코드; legacy live tab 분기 연결, 이번 렌더 미검증",event.landscape
E07,래플 경품,팬페이지 래플 카드 / 대표 래플,Image fill,일반1.35:1; 대표35%열·min-height230,1.6:1,cover,raffle.imageUrl ← teaser_image_url,benefit.product / benefit.poster,apps/web/features/fanpage/ui/home-panels.tsx:36,apps/web/features/fanpage/ui/fanpage.module.css:61,코드,benefit.photo / benefit.poster
E08,래플 경품,MY 래플 미리보기,Image,96×104 CSS px,96×104 CSS px,cover; JSX112×112는 표시 규격 아님,raffle.imageUrl,benefit.thumbnail,apps/web/features/my/ui/my-screen.tsx:283,apps/web/features/my/ui/my-screen.module.css:253,코드; 인증 화면 미렌더,benefit.photo / benefit.poster
G01,행사 정보 배너,이퓨 가이드 / 홈 진입 카드,Image,가이드580×290; 홈384폭 힌트,가이드350×175; 홈356×178,contain 2:1,ifewEventBanner 1774×887; E01과 같은 원본,event.poster,apps/web/components/fan-participation-guide/fan-participation-guide.tsx:85,apps/web/components/home-entry-cards/home-entry-cards.module.css:20,코드 + 가이드 실측,event.poster
G02,가이드 인물 사진,엘리나 팬 참여 가이드,Image,580×560,1:1,cover center,/images/home-entry/elina.jpg 하드코딩,identity.editorial,apps/web/components/fan-participation-guide/fan-participation-guide.tsx:83,apps/web/components/fan-participation-guide/fan-participation-guide.module.css:63,코드,creator.portrait
G03,가이드 인물 작은 사진,팬 참여 가이드 LIVE 예시 카드,Elina Image / Ifew CreatorImage(collection),48×48,48×48,각 구현의 crop,가이드 자체 원본; 일부 shared renderer,identity.avatar 또는 square.small,apps/web/components/fan-participation-guide/fan-participation-guide.tsx:102,apps/web/components/fan-participation-guide/fan-participation-guide.module.css:102,코드,creator.profile
G04,가이드 경품 이미지,팬 참여 가이드,Image,JSX560×340; visual 컨테이너,visual 약1:0.66,cover,banksy-exhibition-campaign.webp,benefit.poster,apps/web/components/fan-participation-guide/fan-participation-guide.tsx:116,apps/web/components/fan-participation-guide/fan-participation-guide.module.css:100,코드,benefit.photo / benefit.poster
S01,SNS 최근 활동,팬페이지 InstagramRecentActivity,Image unoptimized,9:16,9:16,cover; PHOTO/VIDEO 동일,Instagram imageUrl; 원본 비율 모델 없음,social.media,apps/web/components/instagram-recent-activity.tsx:44,apps/web/components/instagram-recent-activity.module.css:6,코드; 이번 화면에 실제 SNS 카드 없음,social.media
U01,사용자 프로필,MY / 팬페이지 헤더 / 댓글 / 랭킹 / Passport 상세,Avatar,표면별 크기; 원형,표면별 크기; 원형,cover; 출력512×512 WebP,private avatar BFF / 사용자 선택 캐릭터,user.avatar (공개 CMS와 분리),apps/web/features/profile/ui/avatar.tsx:7,apps/web/server/avatar/avatar-image.ts:94,코드; 인증 화면 미렌더,user.avatar
U02,사용자 사진 편집,AvatarEditor,crop 편집 img,업로드 편집용,업로드 편집용,사용자 선택 crop,private upload pipeline,user.avatar.editor,apps/web/features/profile/ui/avatar-editor.tsx:1,apps/web/server/avatar/avatar-route.ts:201,코드; 인증 화면 미렌더,user.avatar
P01,팬 인증 증빙,인증 상세,Image/증빙 미리보기,4:3 미리보기,4:3 미리보기,cover; 저장 원본 비율은 보존,private certification-proofs,proof.private,apps/web/features/certification/ui/certification-detail-screen.tsx:1,apps/web/features/certification/ui/certification.module.css:309,코드; 개인 증빙 미열람,proof.private
M01,퀴즈·미션 내용 이미지,LIVE mission,Media Image,일부 옵션폭160; height:auto,같은 컨텐츠 규칙,일부 레이아웃 자연 비율; JSX640×360,미션 body/option media URL,content.media,apps/web/features/live/ui/live-mission-screen.tsx:132,apps/web/features/live/ui/live-mission-screen.module.css:1,코드; 실제 미션 미렌더,content.media
D01,Passport / 스탬프 장식,홈 / 가이드 / 로그인 / US fanmeetings,Image / artwork,아트별 고유 비율,같은 비율 축소,contain 또는 자연 크기; 일부 합성 창 별도,로컬 정적 자산,artwork,apps/web/components/fan-participation-guide/fan-participation-guide.tsx:98,apps/web/features/passport/ui/passport-stamp-artwork.tsx:1,코드 + 가이드 상단 일부,artwork / brand / badge
D02,팬 등급 휘장,MY / 팬페이지 / Passport,FanTierBadge,tier/stage별 정적 자산,같은 선택 계약,contain,badge tier/stageKey; 사진 선택과 무관,badge (identity와 분리),apps/web/features/rewards/ui/fan-tier-badge.tsx:13,apps/web/features/fanpage/ui/fanpage.module.css:35,코드,artwork / brand / badge
D03,로그인 배경,로그인 전체화면,picture + getImageProps,뷰포트 채움,별도 mobile source,cover,로컬 desktop/mobile 배경,decorative.background,apps/web/components/login-page.tsx:483,apps/web/components/login-page.module.css:1,코드,artwork / brand / badge
D04,로고·아이콘,공통 header/footer/focus flow,Image / SVG,브랜드 고유 비율,브랜드 고유 비율,contain 또는 자연 크기,워드마크/SVG,brand (사진 규격 제외),apps/web/components/fan-shell/fan-wordmark-link.tsx:1,apps/web/components/fan-shell/fan-site-footer.tsx:1,코드,artwork / brand / badge
A01,CMS 관리자 미리보기,셀럽 / LIVE 관리자,일반 img / Image,관리자 미리보기 크기,관리자 레이아웃,URL 기반; 게시 전 규격 승인 도구 아님,입력중 imageUrl / heroUrl,asset.review,apps/web/components/admin/celebrity-manager.tsx:449,apps/web/components/admin/live-manager.tsx:1,코드; 관리자 미접속,각 공개 asset role의 편집 미리보기
X01,외부 공유 썸네일,이퓨 가이드 OpenGraph metadata,metadata.openGraph.images,앱 화면 밖; 플랫폼별 처리,앱 화면 밖; 플랫폼별 처리,소비 플랫폼에 따라 달라짐,ifewEventBanner; 전용 OG 파생본 없음,social.share (별도 전달 규격),apps/web/app/pages/ifew-fan-guide/page.tsx:21,,코드; 공유 플랫폼 미검증,social.share
